"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.151356200E-1,5.116105080E-2,1.192724705E-2,-1.015090942E-1,1.142970190E-1
9.251454660E-1,9.167069197E-2,-2.265140414E-3,-5.392360687E-2,1.063785787E-1
9.351246200E-1,7.377970219E-2,7.241308689E-3,-1.403226852E-1,1.587020384E-1
9.451343890E-1,7.194459438E-2,-7.139295340E-3,1.758670807E-2,7.440622622E-2
9.551442350E-1,4.018050432E-2,4.935517907E-3,-9.019088745E-2,9.885964012E-2
9.651233890E-1,4.508227110E-2,7.253110409E-3,-3.990554810E-2,6.064215981E-2
9.751332350E-1,4.844886065E-2,-4.677198827E-3,-8.533859253E-2,9.824379706E-2
9.851430050E-1,1.896089315E-2,7.212176919E-3,-1.820373535E-2,2.725631937E-2
9.951221580E-1,-1.457828283E-2,7.187165320E-3,-1.087951660E-2,1.955877187E-2
1.005131928E0,-3.831017017E-2,1.913554966E-2,-5.860900879E-2,7.258687423E-2
1.015141774E0,-3.605258465E-2,1.684539020E-2,1.334953308E-2,4.197339710E-2
1.025151389E0,-3.880304098E-2,9.655602276E-3,-2.004718781E-2,4.473026250E-2
1.035130697E0,-4.509049654E-2,4.863619804E-3,3.028488159E-2,5.453422530E-2
1.045140543E0,-2.125304937E-2,2.505980432E-3,-3.436470032E-2,4.048338762E-2
1.055150389E0,1.442909241E-3,7.272891700E-3,1.583862305E-2,1.748825094E-2
1.065129466E0,4.267770052E-2,1.684254408E-2,-8.004093170E-2,9.225837718E-2
1.075139312E0,1.053247452E-1,7.298357785E-3,-6.100654602E-2,1.219359120E-1
1.085149159E0,1.525598764E-1,-9.438827634E-3,-1.209001541E-1,1.948857476E-1
1.095128312E0,1.801607311E-1,9.648256004E-3,-8.969974518E-2,2.014870273E-1
1.105138082E0,2.127363086E-1,-1.667228341E-2,-1.301717758E-1,2.499587831E-1
1.115147928E0,2.072253525E-1,7.202640176E-3,-7.710933685E-2,2.212240371E-1
1.125127082E0,1.429732740E-1,9.382702410E-3,-1.794490814E-1,2.296331096E-1
1.135136851E0,1.439511478E-1,-2.187682688E-2,7.035636902E-2,1.617113081E-1
1.145146697E0,-1.181889176E-1,-5.412176251E-3,-1.947307587E-2,1.199045979E-1
1.155125851E0,-4.805040359E-2,2.077141404E-2,1.326704025E-1,1.426244321E-1
1.165135620E0,3.250980377E-2,1.114636660E-2,4.624366760E-3,3.467727783E-2
1.175145467E0,3.409791291E-1,1.086759716E-1,-2.649431229E-1,4.452775445E-1
1.185124620E0,3.285503983E-1,2.885848284E-3,1.693973541E-1,3.696608661E-1
